name_en,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,tonnage_confidence,status,discovery_year,operator_company,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Tongkuangyu II,CN,Shanxi,35.267,111.600,copper,"molybdenum;gold",POR_CUMO,2.0,0.45,Chinese classification,production,1950,Zhongtiaoshan Nonferrous,Archean-Paleoproterozoic,Craton margin,"Satellite porphyry Cu deposit near the main Tongkuangyu mine.",CGS reports,3,"porphyry;china;shanxi;archean"
Yangla,CN,Yunnan,28.500,99.000,copper,"gold;silver;lead;zinc",SKN_CALC,3.0,1.00,Chinese classification,production,1990,,Triassic,Continental collision,"Skarn Cu polymetallic deposit in the Sanjiang orogenic belt.",CGS reports,4,"skarn;china;yunnan;triassic;sanjiang"
Tongchanggou,CN,Yunnan,26.000,103.000,copper,"molybdenum;silver",POR_CUMO,3.0,0.40,Chinese classification,exploration,2000,,Eocene,Continental collision,"Porphyry Cu-Mo deposit in the Western Yunnan porphyry belt.",CGS reports,3,"porphyry;exploration;china;yunnan;eocene"
Machangqing,CN,Yunnan,25.500,100.500,copper,"molybdenum;gold",POR_CUMO,3.0,0.40,Chinese classification,production,1990,,Eocene,Continental collision,"Porphyry Cu-Mo-Au deposit in the Ailaoshan-Jinshajiang belt.",CGS reports,4,"porphyry;china;yunnan;eocene"
Haboku,CN,Yunnan,25.000,100.000,copper,"gold;silver",POR_CUAU,2.0,0.50,Chinese classification,production,1990,,Eocene,Continental collision,"Porphyry Cu-Au deposit in the Jinshajiang-Ailaoshan belt of western Yunnan.",CGS reports,3,"porphyry;china;yunnan;gold-rich"
Dongchuan II,CN,Yunnan,26.000,103.000,copper,silver,SED_SSC,2.0,0.80,Chinese classification,production,1950,,Proterozoic,Craton margin,"Satellite sediment-hosted Cu deposit in the Dongchuan district.",CGS reports,3,"sediment-hosted;china;yunnan;proterozoic"
Yinshan,CN,Jiangxi,28.750,117.500,copper,"lead;zinc;silver;gold",VMS_BM,2.0,0.50,Chinese classification,production,1950,,Jurassic,Continental arc,"VMS Pb-Zn-Ag-Cu deposit in the Dexing district. Polymetallic massive sulfide.",CGS reports,4,"vms;china;jiangxi;jurassic;polymetallic"
Yongping,CN,Jiangxi,28.250,117.750,copper,"tungsten;molybdenum;bismuth",SKN_CALC,2.0,0.70,Chinese classification,production,1950,,Jurassic,Continental arc,"Skarn Cu-W deposit. Unique W-Cu-Mo-Bi association in the Qin-Hang belt.",CGS reports,3,"skarn;china;jiangxi;tungsten;jurassic"
Saishitang II,CN,Qinghai,35.500,101.500,copper,"gold;silver;molybdenum",POR_CUMO,2.0,0.40,Chinese classification,exploration,2000,,Triassic,Continental collision,"Porphyry Cu-Mo prospect near the Saishitang skarn deposit in East Kunlun.",CGS reports,3,"porphyry;exploration;china;qinghai"
Wunugetushan II,CN,Inner Mongolia,49.250,117.917,copper,molybdenum,POR_CUMO,2.0,0.35,Chinese classification,exploration,2000,China Gold,Jurassic,Continental arc,"Satellite porphyry Cu-Mo deposit near the main Wunugetushan mine.",CGS reports,3,"porphyry;exploration;china;inner-mongolia"
